province_id,lon,lat,label
2,-85.9564,37.8915,"Fort Knox, KY"
9,-77.6109,43.1566,"Rochester, NY"
18,-80.0851,42.1292,"Erie, PA"
49,-120.6596,35.2828,"San Luis Obispo, CA"
51,-115.7631,40.8324,"Elko, NV"
67,-122.7141,38.4404,"Santa Rosa, CA"
218,-71.4128,41.824,"Providence, RI"
335,-79.9311,32.7765,"Charleston, SC"
354,-76.1474,43.0481,"Syracuse, NY"
406,-76.5019,42.443,"Ithaca, NY"
435,-112.4685,34.54,"Prescott, AZ"
467,-115.1398,36.1699,"Las Vegas, NV"
481,-121.288,38.7521,"Roseville, CA"
598,-88.0431,30.6954,"Mobile, AL"
680,-109.5795,36.1544,"Chinle, AZ"
792,-114.0094,46.8721,"Missoula, MT"
806,-109.227,32.2662,"San Simon, AZ"
829,-124.201,41.7558,"Crescent City, CA"
852,-84.388,33.749,"Georgia, GA"
860,-120.4357,34.953,"Santa Maria, CA"
879,-73.6187,40.7062,"Hempstead, NY"
927,-114.6147,34.8481,"Needles, CA"
942,-93.6091,41.5868,"Des Moines, IA"
1077,-120.6906,35.6266,"Paso Robles, CA"
1124,-111.2393,36.1349,"Tuba City, AZ"
1130,-113.4266,35.5278,"Peach Springs, AZ"
1136,-112.741,32.2681,"Why, AZ"
1210,-124.1637,40.8021,"Eureka, CA"
1268,-116.0742,35.2655,"Baker, CA"
1274,-89.5889,40.6936,"Peoria, IL"
1275,-114.3225,34.4839,"Lake Havasu City, AZ"
1358,-96.7898,46.8772,"Fargo, ND"
1371,-111.8413,33.3062,"Chandler, AZ"
1395,-122.3859,41.4227,"Weed, CA"
1430,-87.3954,46.5436,"Marquette, MI"
1446,-82.4452,38.4192,"Huntington, WV"
1451,-73.2637,41.1412,"Fairfield, CT"
1508,-116.0542,34.1356,"Twentynine Palms, CA"
1534,-84.2807,30.4383,"Tallahassee, FL"
1556,-72.5754,44.2601,"Montpelier, VT"
1663,-110.0298,34.2542,"Show Low, AZ"
1690,-112.1371,36.0767,"Tusayan, AZ"
1706,-122.5311,37.9735,"San Rafael, CA"
1823,-118.2437,34.0522,"Los Angeles, CA"
1835,-104.9903,39.7392,"Denver, CO"
1875,-112.1859,33.5387,"Glendale, AZ"
1884,-111.3235,34.2309,"Payson, AZ"
1885,-76.6122,39.2904,"Baltimore, MD"
1912,-86.3,32.3792,"Montgomery, AL"
2022,-77.0369,38.9072,Washington D.C.
2063,-110.2546,36.7278,"Kayenta, AZ"
2097,-111.0007,31.8548,"Green Valley, AZ"
2160,-115.5631,32.792,"El Centro, CA"
2180,-95.9345,41.2565,"Omaha, NE"
2263,-70.2553,43.6591,"Portland, ME"
2321,-109.3276,33.0512,"Morenci, AZ"
2360,-97.5164,35.4676,"Oklahoma City, OK"
2364,-100.3161,25.6866,"Monterrey, NL"
2428,-110.3037,31.5545,"Sierra Vista, AZ"
2469,-121.8947,36.6002,"Monterey, CA"
2481,-117.2912,34.5361,"Victorville, CA"
2606,-90.0715,29.9511,"New Orleans, LA"
2613,-110.8837,32.3567,"Saddlebrooke, AZ"
2643,-122.6345,41.7354,"Yreka, CA"
2772,-72.9279,41.3083,"New Haven, CT"
2790,-122.3917,40.5865,"Redding, CA"
2805,-100.351,44.3683,"Pierre, SD"
2831,-116.5453,33.8303,"Palm Springs, CA"
2873,-74.4229,39.3643,"Atlantic City, NJ"
2914,-91.4985,44.8113,"Eau Claire, WI"
3027,-111.6513,35.1983,"Flagstaff, AZ"
3054,-121.3263,36.4247,"Soledad, CA"
3058,-113.6147,33.7814,"Salome, AZ"
3074,-112.9763,36.9903,"Colorado City, AZ"
3142,-111.891,40.7608,"Salt Lake City, UT"
3180,-114.1299,32.6728,"Wellton, AZ"
3329,-120.6906,35.6266,"Paso Robles, CA"
3442,-92.2896,34.7465,"Little Rock, AR"
3494,-78.6382,35.7796,"Raleigh, NC"
3556,-80.1918,25.7617,"Miami, FL"
3578,-122.6367,38.2324,"Petaluma, CA"
3612,-122.0308,36.9741,"Santa Cruz, CA"
3624,-117.6719,33.6,"Mission Viejo, CA"
3677,-81.6326,38.3498,"Charleston, WV"
3696,-123.2078,39.1502,"Ukiah, CA"
3756,-90.1994,38.627,"St. Louis, MO"
3768,-110.1582,34.9022,"Holbrook, AZ"
3860,-118.3531,33.9617,"Inglewood, CA"
3894,-111.2254,32.4364,"Marana, AZ"
3992,-71.5376,43.2081,"Concord, NH"
4005,-122.3321,47.6062,"Seattle, WA"
4039,-117.9143,33.8366,"Anaheim, CA"
4041,-119.8276,34.4358,"Goleta, CA"
4073,-87.6298,41.8781,"Chicago, IL"
4096,-86.8025,33.5207,"Birmingham, AL"
4128,-77.436,37.5407,"Richmond, VA"
4170,-111.8315,33.4152,"Mesa, AZ"
4172,-117.1611,32.7157,"San Diego, CA"
4362,-72.5898,42.1015,"Springfield, MA"
4401,-112.7168,32.9478,"Gila Bend, AZ"
4438,-95.3698,29.7604,"Houston, TX"
4493,-119.6982,34.4208,"Santa Barbara, CA"
4527,-112.73,33.9698,"Wickenburg, AZ"
4539,-114.5683,35.1478,"Bullhead City, AZ"
4569,-76.2859,36.8508,"Norfolk, VA"
4570,-67.8403,46.1261,"Houlton, ME"
4628,-122.2711,37.8044,"Oakland, CA"
4649,-83.0458,42.3314,"Detroit, MI"
4668,-110.2945,31.9679,"Benson, AZ"
4720,-121.4944,38.5816,"Sacremento, CA"
4755,-83.9207,35.9606,"Knoxville, TN"
4775,-77.0011,41.2412,"Williamsport, PA"
4840,-86.1581,39.7684,"Indianapolis, IN"
4869,-119.7871,36.7378,"Fresno, CA"
4881,-119.0195,35.4197,"Oildale, CA"
4917,-118.1165,34.5794,"Palmdale, CA"
4946,-122.4194,37.7749,"San Francisco, CA"
4986,-119.1771,34.1975,"Oxnard, CA"
5001,-116.2023,43.615,"Boise, ID"
5016,-82.9988,39.9612,"Columbus, OH"
5052,-75.9108,43.9748,"Watertown, NY"
5503,-122.6765,45.5152,"Portland, OR"
5537,-68.7778,44.8012,"Bangor, ME"
5645,-85.6024,44.7631,"Traverse City, MI"
5660,-93.265,44.9778,"Minneapolis, MN"
5666,-71.0589,42.3601,"Boston, MA"
5668,-105.5022,44.2911,"Gillette, WY"
5821,-123.8057,39.4457,"Fort Bragg, CA"
5827,-81.6944,41.4993,"Cleveland, OH"
5858,-79.9959,40.4406,"Pittsburgh, PA"
